rental_id,user_id,age,gender,start_time,end_time,start_station,end_station,duration_minutes,price
28,U8820,52,M,2024-08-14 17:55:00,2024-08-14 18:22:00,Station Corniche,Station Stade,27,8.6
29,U8592,50,F,2025-12-23 18:57:00,2025-12-23 19:50:00,Station Stade,Station Marina,53,11.2
30,U4728,62,F,2025-01-01 17:02:00,2025-01-01 17:22:00,Station Marina,Station Centre-Ville,20,6.9
31,U1212,49,F,2025-06-27 00:12:00,2025-06-27 00:27:00,Station Parc Central,Station Université,15,6.4
32,U4672,36,F,2025-07-24 14:51:00,2025-07-24 15:31:00,Station Gare,Station Aéroport Bus,40,9.8
33,U9531,22,F,2024-04-23 07:36:00,2024-04-23 07:44:00,Station Quartier Administratif,Station Hôpital,8,5.7
34,U6840,27,M,2024-02-08 14:58:00,2024-02-08 15:46:00,Station Parc Central,Station Marina,48,11.0
35,U2203,43,F,2025-07-14 08:02:00,2025-07-14 08:30:00,Station Centre-Ville,Station Parc Central,28,7.6
36,U5774,29,M,2024-08-05 19:01:00,2024-08-05 19:19:00,Station Marina,Station Centre-Ville,18,7.9
37,U6923,27,M,2025-03-21 18:35:00,2025-03-21 18:58:00,Station Quartier Administratif,Station Technopark,23,7.6
38,U1697,36,M,2024-05-09 08:29:00,2024-05-09 08:54:00,Station Aéroport Bus,Station Gare,25,8.6
39,U1285,46,F,2024-02-18 07:32:00,2024-02-18 08:02:00,Station Marina,Station Centre-Ville,30,8.1
40,U6322,65,M,2024-07-03 19:08:00,2024-07-03 19:15:00,Station Technopark,Station Quartier Administratif,7,5.2
41,U3303,18,M,2024-05-29 09:29:00,2024-05-29 09:44:00,Station Gare,Station Centre-Ville,15,6.4
42,U1976,21,M,2025-11-15 08:22:00,2025-11-15 08:46:00,Station Souk,Station Centre-Ville,24,7.6
43,U4380,33,M,2024-04-01 15:00:00,2024-04-01 15:18:00,Station Quartier Administratif,Station Centre-Ville,18,7.4
44,U4750,21,M,2024-10-21 12:08:00,2024-10-21 12:44:00,Station Gare,Station Centre-Ville,36,9.3
45,U1013,56,F,2024-09-26 19:35:00,2024-09-26 19:55:00,Station Technopark,Station Corniche,20,6.4
46,U1544,56,M,2024-12-24 17:48:00,2024-12-24 18:20:00,Station Hôpital,Station Parc Central,32,9.8
47,U5819,23,M,2024-04-17 11:38:00,2024-04-17 12:11:00,Station Université,Station Technopark,33,8.8
48,U2156,30,M,2024-10-17 11:56:00,2024-10-17 12:14:00,Station Hôpital,Station Quartier Administratif,18,6.9
49,U9923,28,M,2024-07-16 12:11:00,2024-07-16 13:07:00,Station Marina,Station Corniche,56,11.7
50,U2661,35,M,2025-01-04 07:16:00,2025-01-04 08:03:00,Station Gare,Station Université,47,10.0
51,U2519,57,M,2025-07-01 07:58:00,2025-07-01 08:20:00,Station Corniche,Station Aéroport Bus,22,9.1
52,U6053,46,F,2025-09-26 08:59:00,2025-09-26 09:36:00,Station Centre-Ville,Station Gare,37,8.8
53,U7361,40,F,2025-01-31 07:26:00,2025-01-31 07:53:00,Station Université,Station Parc Central,27,7.6
54,U3124,23,M,2024-11-08 08:55:00,2024-11-08 09:38:00,Station Marina,Station Centre-Ville,43,11.0
55,U2999,54,M,2025-07-10 10:12:00,2025-07-10 10:40:00,Station Stade,Station Parc Central,28,8.1
56,U6541,19,F,2025-03-13 07:31:00,2025-03-13 07:46:00,Station Marina,Station Corniche,15,7.4
57,U7925,22,F,2025-07-17 09:57:00,2025-07-17 10:24:00,Station Université,Station Gare,27,8.6
58,U7565,54,F,2024-03-17 20:55:00,2024-03-17 21:07:00,Station Quartier Administratif,Station Hôpital,12,7.4
59,U2469,46,M,2024-08-01 15:02:00,2024-08-01 15:54:00,Station Corniche,Station Centre-Ville,52,12.2
60,U1831,44,F,2025-11-08 08:41:00,2025-11-08 09:14:00,Station Souk,Station Stade,33,10.3
61,U7630,45,F,2024-06-04 15:51:00,2024-06-04 16:02:00,Station Gare,Station Centre-Ville,11,7.9
62,U5947,41,M,2024-07-07 18:33:00,2024-07-07 18:41:00,Station Aéroport Bus,Station Gare,8,6.7
63,U2501,18,F,2025-09-03 16:38:00,2025-09-03 17:17:00,Station Stade,Station Parc Central,39,9.8
64,U8854,19,M,2025-07-05 11:36:00,2025-07-05 12:11:00,Station Souk,Station Stade,35,9.3
65,U6548,30,M,2025-05-17 06:23:00,2025-05-17 06:45:00,Station Hôpital,Station Parc Central,22,8.6
66,U2193,32,F,2024-04-11 11:59:00,2024-04-11 12:06:00,Station Université,Station Parc Central,7,5.2
67,U9612,32,F,2025-09-11 19:54:00,2025-09-11 19:59:00,Station Corniche,Station Stade,5,6.7
68,U5381,39,F,2025-12-30 01:03:00,2025-12-30 01:35:00,Station Université,Station Parc Central,32,10.3
69,U9450,63,F,2024-05-30 20:41:00,2024-05-30 21:32:00,Station Hôpital,Station Université,51,12.7
70,U3929,53,F,2025-05-12 19:42:00,2025-05-12 20:43:00,Station Corniche,Station Université,61,13.4
71,U8710,27,M,2024-08-18 09:27:00,2024-08-18 09:48:00,Station Technopark,Station Quartier Administratif,21,7.6
72,U6219,21,F,2025-03-30 18:00:00,2025-03-30 18:05:00,Station Quartier Administratif,Station Hôpital,5,6.2
73,U1622,63,Autre,2025-12-18 19:44:00,2025-12-18 20:00:00,Station Hôpital,Station Parc Central,16,7.9
74,U6589,60,M,2024-07-26 06:43:00,2024-07-26 06:53:00,Station Université,Station Technopark,10,5.2
75,U8021,58,F,2024-10-02 13:34:00,2024-10-02 14:09:00,Station Hôpital,Station Université,35,9.8
76,U1768,25,F,2025-06-11 19:25:00,2025-06-11 19:50:00,Station Corniche,Station Stade,25,9.1
77,U9184,22,F,2025-12-15 18:47:00,2025-12-15 18:58:00,Station Université,Station Technopark,11,7.4
78,U9350,42,M,2025-01-12 09:12:00,2025-01-12 09:34:00,Station Marina,Station Corniche,22,8.6
79,U2071,45,F,2025-04-03 10:02:00,2025-04-03 10:20:00,Station Technopark,Station Quartier Administratif,18,7.4
80,U9314,43,M,2024-03-05 13:38:00,2024-03-05 14:02:00,Station Aéroport Bus,Station Gare,24,8.6
81,U2983,19,M,2024-10-20 14:44:00,2024-10-20 15:03:00,Station Corniche,Station Marina,19,6.4
82,U6909,32,F,2024-07-31 12:15:00,2024-07-31 12:45:00,Station Centre-Ville,Station Souk,30,9.1
83,U8796,53,M,2024-07-20 18:30:00,2024-07-20 19:12:00,Station Marina,Station Université,42,10.0
84,U8589,35,M,2025-04-22 08:58:00,2025-04-22 09:08:00,Station Marina,Station Centre-Ville,10,5.7
85,U6277,42,F,2024-02-28 09:44:00,2024-02-28 09:55:00,Station Stade,Station Corniche,11,7.9
86,U5468,56,M,2025-12-15 18:51:00,2025-12-15 19:18:00,Station Marina,Station Corniche,27,9.1
87,U2358,55,M,2025-10-09 08:10:00,2025-10-09 08:24:00,Station Gare,Station Aéroport Bus,14,7.4
88,U5985,44,M,2025-09-19 20:12:00,2025-09-19 20:45:00,Station Souk,Station Centre-Ville,33,9.8
89,U4133,55,F,2025-09-17 17:01:00,2025-09-17 17:52:00,Station Marina,Station Parc Central,51,11.7
90,U3642,38,M,2024-03-26 09:58:00,2024-03-26 10:35:00,Station Parc Central,Station Université,37,8.8
91,U8129,29,M,2025-11-01 09:26:00,2025-11-01 09:53:00,Station Corniche,Station Marina,27,8.6
92,U3798,46,F,2024-01-24 18:31:00,2024-01-24 18:48:00,Station Stade,Station Souk,17,7.4
93,U8097,45,F,2024-07-16 08:19:00,2024-07-16 08:40:00,Station Université,Station Parc Central,21,8.1
94,U3396,61,F,2024-08-25 18:57:00,2024-08-25 19:02:00,Station Parc Central,Station Université,5,6.7
95,U2944,24,M,2025-10-04 11:25:00,2025-10-04 11:48:00,Station Université,Station Technopark,23,8.6
96,U8074,63,Autre,2025-07-29 13:17:00,2025-07-29 14:20:00,Station Gare,Station Hôpital,63,13.4
97,U3481,57,M,2025-02-23 19:19:00,2025-02-23 19:44:00,Station Parc Central,Station Centre-Ville,25,7.6
98,U6295,50,M,2025-10-14 07:09:00,2025-10-14 07:30:00,Station Corniche,Station Stade,21,8.6
99,U6474,26,M,2024-04-29 10:31:00,2024-04-29 10:43:00,Station Aéroport Bus,Station Gare,12,7.4
100,U4781,40,F,2024-04-15 09:41:00,2024-04-15 10:04:00,Station Aéroport Bus,Station Gare,23,9.1
101,U6681,41,F,2024-09-03 07:41:00,2024-09-03 07:59:00,Station Souk,Station Centre-Ville,18,6.4
102,U3353,61,F,2025-01-21 09:16:00,2025-01-21 09:43:00,Station Aéroport Bus,Station Hôpital,27,8.1
103,U7000,43,F,2025-12-24 09:30:00,2025-12-24 09:54:00,Station Quartier Administratif,Station Centre-Ville,24,8.6
104,U6634,46,F,2024-01-04 11:29:00,2024-01-04 12:04:00,Station Stade,Station Parc Central,35,9.8
105,U8440,60,M,2024-07-05 19:11:00,2024-07-05 19:25:00,Station Centre-Ville,Station Parc Central,14,7.4
106,U4964,51,M,2025-07-14 18:03:00,2025-07-14 18:12:00,Station Technopark,Station Quartier Administratif,9,5.2
107,U7871,34,Autre,2024-03-17 09:47:00,2024-03-17 10:13:00,Station Aéroport Bus,Station Gare,26,8.6
108,U2511,41,M,2025-07-10 10:30:00,2025-07-10 10:35:00,Station Quartier Administratif,Station Hôpital,5,5.7
109,U1659,21,M,2024-04-15 17:31:00,2024-04-15 18:43:00,Station Souk,Station Parc Central,72,14.1
110,U7118,26,F,2024-03-15 18:34:00,2024-03-15 19:01:00,Station Parc Central,Station Centre-Ville,27,8.1
111,U8868,52,F,2024-11-28 21:25:00,2024-11-28 21:51:00,Station Marina,Station Corniche,26,8.1
112,U4498,30,M,2025-10-03 23:19:00,2025-10-03 23:27:00,Station Technopark,Station Université,8,6.2
113,U8707,36,M,2024-06-05 08:23:00,2024-06-05 08:28:00,Station Quartier Administratif,Station Centre-Ville,5,6.2
114,U8176,21,F,2025-10-25 17:25:00,2025-10-25 17:30:00,Station Centre-Ville,Station Gare,5,6.7
115,U6555,59,M,2025-10-19 17:15:00,2025-10-19 17:23:00,Station Technopark,Station Quartier Administratif,8,6.2
116,U6416,36,F,2024-09-17 18:31:00,2024-09-17 18:57:00,Station Stade,Station Parc Central,26,8.6
117,U9345,55,M,2025-10-23 08:09:00,2025-10-23 08:20:00,Station Souk,Station Centre-Ville,11,7.9
118,U6908,43,F,2024-01-26 09:41:00,2024-01-26 09:50:00,Station Technopark,Station Quartier Administratif,9,6.2
119,U3804,57,M,2025-01-22 11:12:00,2025-01-22 11:37:00,Station Parc Central,Station Stade,25,9.1
120,U4719,60,M,2024-12-11 08:43:00,2024-12-11 09:03:00,Station Centre-Ville,Station Quartier Administratif,20,6.4
121,U7509,53,F,2025-10-26 10:24:00,2025-10-26 11:01:00,Station Gare,Station Université,37,9.3
122,U7937,29,M,2024-07-08 10:27:00,2024-07-08 10:46:00,Station Hôpital,Station Parc Central,19,7.9
123,U6597,47,Autre,2024-01-19 17:59:00,2024-01-19 18:17:00,Station Aéroport Bus,Station Gare,18,7.4
124,U2563,26,M,2024-07-13 15:15:00,2024-07-13 15:35:00,Station Parc Central,Station Marina,20,6.4
125,U1377,20,M,2025-12-09 07:47:00,2025-12-09 08:24:00,Station Parc Central,Station Université,37,9.3
126,U4897,25,M,2025-11-07 07:09:00,2025-11-07 07:26:00,Station Souk,Station Stade,17,6.4
127,U9739,32,F,2024-06-17 07:55:00,2024-06-17 08:33:00,Station Université,Station Gare,38,9.8
128,U2556,33,M,2024-04-28 13:32:00,2024-04-28 13:50:00,Station Technopark,Station Quartier Administratif,18,7.4
129,U1231,22,F,2024-09-08 13:54:00,2024-09-08 14:10:00,Station Aéroport Bus,Station Gare,16,6.9
130,U4429,53,M,2024-04-20 08:57:00,2024-04-20 09:28:00,Station Centre-Ville,Station Gare,31,8.8
131,U7402,30,F,2025-07-16 16:42:00,2025-07-16 17:06:00,Station Aéroport Bus,Station Gare,24,8.6
132,U3117,62,F,2025-10-18 10:19:00,2025-10-18 10:49:00,Station Stade,Station Parc Central,30,8.6
133,U2031,46,M,2024-03-20 13:26:00,2024-03-20 13:38:00,Station Gare,Station Aéroport Bus,12,6.4
134,U6547,25,M,2025-06-30 16:35:00,2025-06-30 16:41:00,Station Technopark,Station Quartier Administratif,6,6.2
135,U9159,58,F,2024-07-22 11:14:00,2024-07-22 11:56:00,Station Stade,Station Université,42,11.0
136,U2532,48,F,2025-12-17 17:19:00,2025-12-17 17:30:00,Station Parc Central,Station Université,11,7.4
137,U9788,52,F,2025-06-24 07:28:00,2025-06-24 07:47:00,Station Marina,Station Corniche,19,6.4
138,U3273,60,Autre,2024-05-23 06:15:00,2024-05-23 06:44:00,Station Aéroport Bus,Station Marina,29,8.6
139,U2624,57,F,2024-05-20 14:59:00,2024-05-20 15:31:00,Station Stade,Station Hôpital,32,9.8
140,U1884,51,M,2024-02-05 13:55:00,2024-02-05 14:19:00,Station Quartier Administratif,Station Aéroport Bus,24,8.6
141,U5816,47,F,2024-08-11 16:10:00,2024-08-11 16:16:00,Station Parc Central,Station Université,6,6.2
142,U6137,29,M,2025-03-04 10:52:00,2025-03-04 11:12:00,Station Quartier Administratif,Station Centre-Ville,20,6.4
143,U3601,18,M,2024-08-15 18:27:00,2024-08-15 18:52:00,Station Stade,Station Parc Central,25,8.6
144,U1915,64,F,2025-01-08 12:53:00,2025-01-08 13:22:00,Station Souk,Station Centre-Ville,29,8.6
145,U7935,65,F,2024-06-21 09:52:00,2024-06-21 10:09:00,Station Stade,Station Souk,17,7.4
146,U9976,52,F,2024-09-05 19:30:00,2024-09-05 19:50:00,Station Centre-Ville,Station Gare,20,7.9
147,U9628,50,M,2024-04-06 07:54:00,2024-04-06 08:05:00,Station Aéroport Bus,Station Gare,11,7.4
148,U4481,58,M,2025-07-02 08:11:00,2025-07-02 08:16:00,Station Technopark,Station Université,5,6.2
149,U5788,29,M,2025-09-16 18:50:00,2025-09-16 19:24:00,Station Quartier Administratif,Station Hôpital,34,10.3
150,U5633,27,F,2025-12-19 14:56:00,2025-12-19 15:31:00,Station Parc Central,Station Corniche,35,9.8
151,U4353,41,F,2025-11-07 19:02:00,2025-11-07 19:25:00,Station Centre-Ville,Station Quartier Administratif,23,8.1
152,U8829,47,M,2025-09-09 17:22:00,2025-09-09 17:27:00,Station Quartier Administratif,Station Technopark,5,6.2
153,U4116,30,M,2025-06-27 10:12:00,2025-06-27 10:58:00,Station Corniche,Station Aéroport Bus,46,11.5
154,U4065,55,M,2025-11-12 09:00:00,2025-11-12 09:31:00,Station Marina,Station Centre-Ville,31,9.8
155,U7422,44,Autre,2025-08-05 13:29:00,2025-08-05 14:16:00,Station Technopark,Station Quartier Administratif,47,10.0
156,U3499,65,F,2024-03-30 14:13:00,2024-03-30 14:33:00,Station Gare,Station Aéroport Bus,20,7.9
157,U1881,62,F,2025-09-13 10:59:00,2025-09-13 11:27:00,Station Centre-Ville,Station Parc Central,28,9.1
158,U6997,55,F,2024-06-21 18:30:00,2024-06-21 18:49:00,Station Stade,Station Parc Central,19,6.9
159,U1646,37,M,2025-07-07 07:22:00,2025-07-07 07:40:00,Station Quartier Administratif,Station Centre-Ville,18,7.4
160,U9864,31,M,2025-06-14 09:08:00,2025-06-14 09:13:00,Station Corniche,Station Stade,5,6.2
161,U5345,39,F,2024-08-08 17:29:00,2024-08-08 17:58:00,Station Marina,Station Corniche,29,8.6
162,U5429,44,F,2025-06-16 11:02:00,2025-06-16 11:37:00,Station Centre-Ville,Station Hôpital,35,9.8
163,U8878,26,F,2024-11-27 23:35:00,2024-11-28 00:17:00,Station Hôpital,Station Quartier Administratif,42,11.5
164,U1767,25,F,2024-11-30 14:12:00,2024-11-30 14:31:00,Station Technopark,Station Université,19,6.9
165,U6485,60,F,2024-11-27 11:31:00,2024-11-27 11:53:00,Station Parc Central,Station Université,22,9.1
166,U7953,62,M,2025-08-23 18:41:00,2025-08-23 18:53:00,Station Souk,Station Centre-Ville,12,7.4
167,U7210,53,M,2024-03-11 13:18:00,2024-03-11 13:44:00,Station Marina,Station Corniche,26,7.6
168,U6853,27,F,2025-10-07 20:42:00,2025-10-07 21:08:00,Station Technopark,Station Université,26,8.6
169,U6836,22,M,2025-12-24 18:44:00,2025-12-24 19:16:00,Station Technopark,Station Université,32,9.8
170,U1983,31,F,2024-01-05 19:10:00,2024-01-05 19:51:00,Station Université,Station Parc Central,41,11.0
171,U5024,39,M,2025-05-04 21:24:00,2025-05-04 21:53:00,Station Aéroport Bus,Station Parc Central,29,8.6
172,U8030,33,F,2024-03-07 16:40:00,2024-03-07 17:31:00,Station Gare,Station Technopark,51,11.7
173,U2098,19,F,2025-11-25 16:45:00,2025-11-25 16:55:00,Station Stade,Station Corniche,10,5.2
174,U1890,21,M,2024-07-12 09:33:00,2024-07-12 09:59:00,Station Technopark,Station Quartier Administratif,26,8.6
175,U5849,56,M,2025-05-10 13:05:00,2025-05-10 13:56:00,Station Souk,Station Corniche,51,12.2
176,U2816,56,F,2024-11-30 12:08:00,2024-11-30 12:38:00,Station Hôpital,Station Quartier Administratif,30,8.6
177,U2678,58,M,2025-06-15 12:34:00,2025-06-15 12:44:00,Station Quartier Administratif,Station Hôpital,10,5.7
178,U2247,53,M,2025-01-19 11:28:00,2025-01-19 12:01:00,Station Centre-Ville,Station Quartier Administratif,33,9.3
179,U5627,37,F,2025-05-10 07:36:00,2025-05-10 07:48:00,Station Hôpital,Station Stade,12,7.4
180,U5523,38,M,2024-12-15 17:59:00,2024-12-15 18:42:00,Station Gare,Station Stade,43,11.5
181,U7997,64,M,2024-03-04 07:28:00,2024-03-04 07:54:00,Station Université,Station Technopark,26,8.1
182,U3228,38,M,2025-11-05 05:06:00,2025-11-05 05:29:00,Station Marina,Station Corniche,23,9.1
183,U3493,54,M,2025-09-16 18:24:00,2025-09-16 18:52:00,Station Hôpital,Station Parc Central,28,8.6
184,U9793,23,M,2024-10-05 18:52:00,2024-10-05 19:04:00,Station Marina,Station Centre-Ville,12,7.9
185,U1797,24,M,2024-08-24 09:24:00,2024-08-24 09:37:00,Station Stade,Station Corniche,13,7.4
186,U6247,45,M,2024-06-26 12:42:00,2024-06-26 12:52:00,Station Centre-Ville,Station Souk,10,5.7
187,U5453,64,M,2025-04-22 14:33:00,2025-04-22 15:10:00,Station Stade,Station Parc Central,37,9.8
188,U1815,30,F,2024-12-16 17:08:00,2024-12-16 17:37:00,Station Marina,Station Centre-Ville,29,8.6
189,U3796,57,M,2025-04-05 17:16:00,2025-04-05 18:03:00,Station Parc Central,Station Souk,47,11.5
190,U9456,40,M,2024-09-04 08:47:00,2024-09-04 09:04:00,Station Hôpital,Station Stade,17,7.4
191,U1290,29,F,2024-03-10 06:08:00,2024-03-10 06:34:00,Station Souk,Station Centre-Ville,26,8.6
192,U2555,65,M,2024-06-24 11:07:00,2024-06-24 11:44:00,Station Corniche,Station Marina,37,8.8
193,U4637,57,M,2025-05-01 11:23:00,2025-05-01 11:59:00,Station Université,Station Gare,36,10.3
194,U2532,60,F,2024-12-10 17:02:00,2024-12-10 17:07:00,Station Quartier Administratif,Station Hôpital,5,6.2
195,U1289,58,F,2024-09-30 09:56:00,2024-09-30 10:04:00,Station Marina,Station Centre-Ville,8,5.7
196,U6366,61,M,2025-04-07 12:35:00,2025-04-07 12:58:00,Station Centre-Ville,Station Souk,23,8.6
197,U3067,19,M,2024-01-10 18:47:00,2024-01-10 19:10:00,Station Centre-Ville,Station Corniche,23,8.6
198,U7893,58,F,2025-12-25 18:52:00,2025-12-25 19:09:00,Station Stade,Station Hôpital,17,6.4
199,U9743,41,F,2025-06-24 13:34:00,2025-06-24 13:52:00,Station Hôpital,Station Quartier Administratif,18,7.9
200,U7246,30,F,2024-07-08 10:52:00,2024-07-08 11:21:00,Station Université,Station Gare,29,8.6
201,U2598,57,F,2024-11-01 13:49:00,2024-11-01 14:04:00,Station Aéroport Bus,Station Gare,15,7.4
202,U9794,35,F,2025-07-18 10:22:00,2025-07-18 10:40:00,Station Centre-Ville,Station Gare,18,7.4
203,U7701,65,M,2025-11-08 08:33:00,2025-11-08 08:38:00,Station Centre-Ville,Station Quartier Administratif,5,6.2
204,U3202,54,M,2024-01-18 07:30:00,2024-01-18 07:35:00,Station Marina,Station Centre-Ville,5,5.7
205,U6317,49,F,2025-10-22 14:59:00,2025-10-22 15:21:00,Station Stade,Station Corniche,22,8.6
206,U8113,44,Autre,2024-04-13 14:32:00,2024-04-13 14:57:00,Station Parc Central,Station Université,25,8.6
207,U5490,56,F,2024-05-16 17:44:00,2024-05-16 18:12:00,Station Marina,Station Corniche,28,8.6
208,U7581,23,M,2025-04-27 17:04:00,2025-04-27 17:30:00,Station Technopark,Station Université,26,8.6
209,U4118,54,M,2025-01-25 10:29:00,2025-01-25 10:37:00,Station Quartier Administratif,Station Centre-Ville,8,6.7
210,U9095,32,M,2024-03-17 15:25:00,2024-03-17 15:48:00,Station Aéroport Bus,Station Gare,23,7.6
211,U5772,32,M,2025-06-15 17:19:00,2025-06-15 17:49:00,Station Souk,Station Stade,30,8.1
212,U9420,36,M,2024-03-13 18:16:00,2024-03-13 18:31:00,Station Stade,Station Souk,15,7.4
213,U1834,19,F,2025-06-29 02:06:00,2025-06-29 02:41:00,Station Gare,Station Centre-Ville,35,9.8
214,U4330,64,M,2024-04-30 13:28:00,2024-04-30 14:07:00,Station Gare,Station Centre-Ville,39,9.8
215,U2237,22,M,2024-06-23 11:00:00,2024-06-23 11:19:00,Station Aéroport Bus,Station Gare,19,7.4
216,U6140,22,M,2025-09-09 13:48:00,2025-09-09 14:29:00,Station Gare,Station Aéroport Bus,41,11.5
217,U7482,47,F,2024-04-27 00:15:00,2024-04-27 00:30:00,Station Parc Central,Station Hôpital,15,7.4
218,U1684,45,M,2025-03-21 13:23:00,2025-03-21 13:51:00,Station Quartier Administratif,Station Université,28,7.6
219,U6565,55,M,2025-01-30 11:20:00,2025-01-30 11:45:00,Station Souk,Station Stade,25,8.6
220,U5461,34,M,2024-04-29 05:24:00,2024-04-29 06:01:00,Station Corniche,Station Parc Central,37,9.8
221,U3270,52,M,2025-05-09 12:16:00,2025-05-09 12:30:00,Station Souk,Station Centre-Ville,14,6.4
222,U6523,48,F,2025-09-23 00:52:00,2025-09-23 01:30:00,Station Technopark,Station Marina,38,9.8
223,U4708,51,F,2024-08-23 08:46:00,2024-08-23 08:53:00,Station Centre-Ville,Station Souk,7,6.7
224,U8879,18,F,2024-05-22 10:46:00,2024-05-22 11:15:00,Station Corniche,Station Stade,29,8.6
225,U9922,21,F,2025-02-26 14:40:00,2025-02-26 15:00:00,Station Hôpital,Station Parc Central,20,7.4
226,U5546,57,F,2025-03-11 17:44:00,2025-03-11 18:12:00,Station Université,Station Gare,28,8.1
227,U6138,28,F,2025-04-30 19:48:00,2025-04-30 20:25:00,Station Stade,Station Aéroport Bus,37,9.8
228,U4565,55,M,2024-03-18 15:19:00,2024-03-18 15:27:00,Station Hôpital,Station Quartier Administratif,8,6.2
229,U9961,38,M,2024-09-08 12:40:00,2024-09-08 13:22:00,Station Parc Central,Station Université,42,11.0
230,U6259,51,F,2025-09-13 07:46:00,2025-09-13 08:08:00,Station Centre-Ville,Station Hôpital,22,8.6
231,U2415,59,M,2025-02-13 14:39:00,2025-02-13 15:05:00,Station Technopark,Station Université,26,8.6
232,U6272,63,F,2024-05-22 14:53:00,2024-05-22 15:51:00,Station Centre-Ville,Station Aéroport Bus,58,12.2
233,U8021,32,F,2024-12-29 07:37:00,2024-12-29 08:03:00,Station Marina,Station Centre-Ville,26,9.1
234,U9468,57,F,2025-08-03 16:21:00,2025-08-03 17:08:00,Station Aéroport Bus,Station Centre-Ville,47,11.5
235,U1715,45,M,2024-08-14 10:58:00,2024-08-14 11:08:00,Station Technopark,Station Université,10,6.2
236,U2556,35,M,2024-11-29 11:17:00,2024-11-29 12:11:00,Station Université,Station Hôpital,54,12.7
237,U3653,56,M,2024-04-06 16:58:00,2024-04-06 17:46:00,Station Centre-Ville,Station Corniche,48,11.0
238,U6038,51,M,2025-10-15 08:51:00,2025-10-15 09:32:00,Station Parc Central,Station Centre-Ville,41,11.0
239,U9038,64,F,2024-07-28 07:08:00,2024-07-28 07:23:00,Station Centre-Ville,Station Souk,15,6.9
240,U2247,63,F,2024-08-09 19:44:00,2024-08-09 20:02:00,Station Technopark,Station Université,18,7.9
241,U2850,56,M,2024-06-21 21:14:00,2024-06-21 22:06:00,Station Centre-Ville,Station Hôpital,52,12.2
242,U9907,61,M,2024-04-20 21:51:00,2024-04-20 22:06:00,Station Souk,Station Stade,15,7.4
